"jurisdiction","report_year","total_homicides"
"Los Angeles","2015",282
"Los Angeles County","1975",138
"Los Angeles County","1976",155
"Los Angeles County","1977",173
"Los Angeles County","1978",180
"Los Angeles County","1979",201
"Los Angeles County","1980",201
"Los Angeles County","1981",183
"Los Angeles County","1982",158
"Los Angeles County","1983",156
"Los Angeles County","1984",176
"Los Angeles County","1985",164
"Los Angeles County","1986",170
"Los Angeles County","1987",164
"Los Angeles County","1988",157
"Los Angeles County","1989",176
"Los Angeles County","1990",215
"Los Angeles County","1991",226
"Los Angeles County","1992",228
"Los Angeles County","1993",229
"Los Angeles County","1994",209
"Los Angeles County","1995",227
"Los Angeles County","1996",165
"Los Angeles County","1997",146
"Los Angeles County","1998",131
"Los Angeles County","1999",117
"Los Angeles County","2000",111
"Los Angeles County","2001",108
"Los Angeles County","2002",135
"Los Angeles County","2003",144
"Los Angeles County","2004",170
"Los Angeles County","2005",168
"Los Angeles County","2006",135
"Los Angeles County","2007",127
"Los Angeles County","2008",135
"Los Angeles County","2009",102
"Los Angeles County","2010",86
"Los Angeles County","2011",88
"Los Angeles County","2012",75
"Los Angeles County","2013",72
"Los Angeles County","2014",71
"Los Angeles County","2015",98
"Louisville","1975",0
"Louisville","1976",0
"Louisville","1977",0
"Louisville","1978",0
"Louisville","1979",0
"Louisville","1980",0
"Louisville","1981",0
"Louisville","1982",0
"Louisville","1983",0
"Louisville","1984",0
"Louisville","1985",0
"Louisville","1986",0
"Louisville","1987",0
"Louisville","1988",0
"Louisville","1989",0
"Louisville","1990",0
"Louisville","1991",0
"Louisville","1992",0
"Louisville","1993",0
"Louisville","1994",0
"Louisville","1995",0
"Louisville","1996",0
"Louisville","1997",0
"Louisville","1998",0
"Louisville","1999",0
"Louisville","2000",0
"Louisville","2001",0
"Louisville","2002",0
"Louisville","2003",50
"Louisville","2004",66
"Louisville","2005",55
"Louisville","2006",50
"Louisville","2007",71
"Louisville","2008",71
"Louisville","2009",62
"Louisville","2010",52
"Louisville","2011",48
"Louisville","2012",62
"Louisville","2013",48
"Louisville","2014",56
"Louisville","2015",81
"Memphis","1975",120
"Memphis","1976",113
"Memphis","1977",105
"Memphis","1978",113
"Memphis","1979",103
"Memphis","1980",152
"Memphis","1981",133
"Memphis","1982",122
"Memphis","1983",127
"Memphis","1984",113
"Memphis","1985",122
"Memphis","1986",161
"Memphis","1987",143
"Memphis","1988",174
"Memphis","1989",141
"Memphis","1990",195
"Memphis","1991",169
"Memphis","1992",176
"Memphis","1993",198
"Memphis","1994",159
"Memphis","1995",181
"Memphis","1996",161
"Memphis","1997",138
"Memphis","1998",115
"Memphis","1999",118
"Memphis","2000",147
"Memphis","2001",159
"Memphis","2002",149
"Memphis","2003",126
"Memphis","2004",107
"Memphis","2005",138
"Memphis","2006",149
"Memphis","2007",131
"Memphis","2008",138
"Memphis","2009",132
"Memphis","2010",89
"Memphis","2011",117
"Memphis","2012",134
"Memphis","2013",125
"Memphis","2014",139
"Memphis","2015",135
"Mesa","1975",2
"Mesa","1976",5
"Mesa","1977",4
"Mesa","1978",4
"Mesa","1979",2
"Mesa","1980",10
"Mesa","1981",1
"Mesa","1982",3
"Mesa","1983",8
"Mesa","1984",6
"Mesa","1985",8
"Mesa","1986",11
"Mesa","1987",9
"Mesa","1988",11
"Mesa","1989",10
"Mesa","1990",9
"Mesa","1991",15
"Mesa","1992",9
"Mesa","1993",6
"Mesa","1994",17
"Mesa","1995",17
"Mesa","1996",18
"Mesa","1997",13
"Mesa","1998",11
"Mesa","1999",9
"Mesa","2000",15
"Mesa","2001",17
"Mesa","2002",22
"Mesa","2003",14
"Mesa","2004",22
"Mesa","2005",29
"Mesa","2006",26
"Mesa","2007",22
"Mesa","2008",16
"Mesa","2009",14
"Mesa","2010",15
"Mesa","2011",17
"Mesa","2012",14
"Mesa","2013",22
"Mesa","2014",13
"Mesa","2015",16
"Miami","1975",98
"Miami","1976",84
"Miami","1977",84
"Miami","1978",96
"Miami","1979",134
"Miami","1980",220
"Miami","1981",210
"Miami","1982",190
"Miami","1983",144
"Miami","1984",170
"Miami","1985",131
"Miami","1986",148
"Miami","1987",128
"Miami","1988",146
"Miami","1989",132
"Miami","1990",129
"Miami","1991",125
"Miami","1992",128
"Miami","1993",127
"Miami","1994",116
"Miami","1995",110
"Miami","1996",124
"Miami","1997",98
"Miami","1998",86
"Miami","1999",63
"Miami","2000",66
"Miami","2001",66
"Miami","2002",65
"Miami","2003",74
"Miami","2004",69
"Miami","2005",54
"Miami","2006",77
"Miami","2007",78
"Miami","2008",63
"Miami","2009",59
"Miami","2010",68
"Miami","2011",68
"Miami","2012",69
"Miami","2013",71
"Miami","2014",81
"Miami","2015",75
"Miami-Dade County","1975",94
"Miami-Dade County","1976",70
"Miami-Dade County","1977",90
"Miami-Dade County","1978",96
"Miami-Dade County","1979",129
"Miami-Dade County","1980",212
"Miami-Dade County","1981",254
"Miami-Dade County","1982",216
"Miami-Dade County","1983",179
"Miami-Dade County","1984",171
"Miami-Dade County","1985",177
"Miami-Dade County","1986",162
"Miami-Dade County","1987",173
"Miami-Dade County","1988",211
"Miami-Dade County","1989",203
"Miami-Dade County","1990",213
"Miami-Dade County","1991",159
"Miami-Dade County","1992",162
"Miami-Dade County","1993",183
"Miami-Dade County","1994",162
"Miami-Dade County","1995",160
"Miami-Dade County","1996",135
"Miami-Dade County","1997",162
"Miami-Dade County","1998",120
"Miami-Dade County","1999",101
"Miami-Dade County","2000",101
"Miami-Dade County","2001",89
"Miami-Dade County","2002",94
"Miami-Dade County","2003",95
"Miami-Dade County","2004",88
"Miami-Dade County","2005",70
"Miami-Dade County","2006",98
"Miami-Dade County","2007",84
"Miami-Dade County","2008",95
"Miami-Dade County","2009",86
"Miami-Dade County","2010",87
"Miami-Dade County","2011",90
"Miami-Dade County","2012",81
"Miami-Dade County","2013",87
"Miami-Dade County","2014",84
"Miami-Dade County","2015",86
"Milwaukee","1975",70
"Milwaukee","1976",57
"Milwaukee","1977",54
"Milwaukee","1978",48
"Milwaukee","1979",63
"Milwaukee","1980",74
"Milwaukee","1981",71
"Milwaukee","1982",62
"Milwaukee","1983",51
"Milwaukee","1984",44
"Milwaukee","1985",68
"Milwaukee","1986",83
"Milwaukee","1987",92
"Milwaukee","1988",81
"Milwaukee","1989",112
"Milwaukee","1990",155
"Milwaukee","1991",163
"Milwaukee","1992",146
"Milwaukee","1993",157
"Milwaukee","1994",139
"Milwaukee","1995",138
"Milwaukee","1996",130
"Milwaukee","1997",122
"Milwaukee","1998",111
"Milwaukee","1999",124
"Milwaukee","2000",122
"Milwaukee","2001",127
"Milwaukee","2002",111
"Milwaukee","2003",110
"Milwaukee","2004",87
"Milwaukee","2005",121
"Milwaukee","2006",103
"Milwaukee","2007",105
"Milwaukee","2008",71
"Milwaukee","2009",72
"Milwaukee","2010",95
"Milwaukee","2011",86
"Milwaukee","2012",93
"Milwaukee","2013",104
"Milwaukee","2014",86
"Milwaukee","2015",145
"Minneapolis","1975",47
"Minneapolis","1976",27
"Minneapolis","1977",38
"Minneapolis","1978",26
"Minneapolis","1979",30
"Minneapolis","1980",36
"Minneapolis","1981",28
"Minneapolis","1982",36
"Minneapolis","1983",16
"Minneapolis","1984",27
"Minneapolis","1985",29
"Minneapolis","1986",44
"Minneapolis","1987",38
"Minneapolis","1988",55
"Minneapolis","1989",46
"Minneapolis","1990",55
"Minneapolis","1991",64
"Minneapolis","1992",60
"Minneapolis","1993",58
"Minneapolis","1994",62
"Minneapolis","1995",96
"Minneapolis","1996",83
"Minneapolis","1997",58
"Minneapolis","1998",58
"Minneapolis","1999",47
"Minneapolis","2000",50
"Minneapolis","2001",43
"Minneapolis","2002",47
"Minneapolis","2003",46
"Minneapolis","2004",53
"Minneapolis","2005",47
"Minneapolis","2006",57
"Minneapolis","2007",47
"Minneapolis","2008",37
"Minneapolis","2009",18
"Minneapolis","2010",37
"Minneapolis","2011",32
"Minneapolis","2012",39
"Minneapolis","2013",36
"Minneapolis","2014",31
"Minneapolis","2015",47
"Montgomery County","1975",19
"Montgomery County","1976",26
"Montgomery County","1977",14
"Montgomery County","1978",10
"Montgomery County","1979",17
"Montgomery County","1980",16
"Montgomery County","1981",12
"Montgomery County","1982",19
"Montgomery County","1983",17
"Montgomery County","1984",14
"Montgomery County","1985",12
"Montgomery County","1986",9
"Montgomery County","1987",17
"Montgomery County","1988",16
"Montgomery County","1989",21
"Montgomery County","1990",23
"Montgomery County","1991",22
"Montgomery County","1992",21
"Montgomery County","1993",29
"Montgomery County","1994",34
"Montgomery County","1995",20
"Montgomery County","1996",12
"Montgomery County","1997",22
"Montgomery County","1998",12
"Montgomery County","1999",12
"Montgomery County","2000",11
"Montgomery County","2001",18
"Montgomery County","2002",32
"Montgomery County","2003",21
"Montgomery County","2004",18
"Montgomery County","2005",19
"Montgomery County","2006",15
"Montgomery County","2007",19
"Montgomery County","2008",21
"Montgomery County","2009",13
"Montgomery County","2010",16
"Montgomery County","2011",15
"Montgomery County","2012",14
"Montgomery County","2013",8
"Montgomery County","2014",17
"Montgomery County","2015",29
"Nashville","1975",93
"Nashville","1976",74
"Nashville","1977",82
"Nashville","1978",81
"Nashville","1979",89
"Nashville","1980",87
"Nashville","1981",79
"Nashville","1982",67
"Nashville","1983",81
"Nashville","1984",72
"Nashville","1985",81
"Nashville","1986",93
"Nashville","1987",99
"Nashville","1988",79
"Nashville","1989",69
"Nashville","1990",67
"Nashville","1991",88
"Nashville","1992",90
"Nashville","1993",87
"Nashville","1994",73
"Nashville","1995",105
"Nashville","1996",89
"Nashville","1997",112
"Nashville","1998",97
"Nashville","1999",68
"Nashville","2000",72
"Nashville","2001",61
"Nashville","2002",63
"Nashville","2003",72
"Nashville","2004",59
"Nashville","2005",95
"Nashville","2006",80
"Nashville","2007",73
"Nashville","2008",76
"Nashville","2009",79
"Nashville","2010",55
"Nashville","2011",50
"Nashville","2012",63
"Nashville","2013",35
"Nashville","2014",42
"Nashville","2015",72
"Nassau County","1975",18
"Nassau County","1976",20
"Nassau County","1977",19
"Nassau County","1978",13
"Nassau County","1979",20
"Nassau County","1980",20
"Nassau County","1981",27
"Nassau County","1982",20
"Nassau County","1983",31
"Nassau County","1984",34
"Nassau County","1985",18
"Nassau County","1986",19
"Nassau County","1987",22
"Nassau County","1988",21
"Nassau County","1989",26
"Nassau County","1990",21
"Nassau County","1991",27
"Nassau County","1992",18
"Nassau County","1993",18
"Nassau County","1994",13
"Nassau County","1995",17
"Nassau County","1996",8
"Nassau County","1997",12
"Nassau County","1998",13
"Nassau County","1999",16
"Nassau County","2000",19
"Nassau County","2001",13
"Nassau County","2002",16
"Nassau County","2003",13
"Nassau County","2004",10
"Nassau County","2005",16
"Nassau County","2006",14
"Nassau County","2007",14
"Nassau County","2008",14
"Nassau County","2009",18
"Nassau County","2010",15
"Nassau County","2011",7
"Nassau County","2012",12
"Nassau County","2013",12
"Nassau County","2014",6
"Nassau County","2015",13
"New Orleans","1975",158
"New Orleans","1976",170
"New Orleans","1977",173
"New Orleans","1978",216
